"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"7350","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP681/2025-2026/251028","PARBHANI(DISTRICT COLLECTOR PARBHANI_IDA)","Sanjay Haribhau Jadhav","PARBHANI","04-May-2026","LALBAHADUR MAGAS VARGIY MAJOOR SAHAKARI SANTHA MARYA SELU","Payment Success","499735"
"7351","Rajasthan","Development of playfields and sports grounds","WS/MP18167/2025-2026/186959","JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA)","BRIJENDRA SINGH OLA","JHUNJHUNU","05-May-2026","Ummed Enterprises","Payment Success","499571"
"7352","Andhra Pradesh","Construction of community centers and community halls","WS/MP18014/2025-2026/241000","Sri Potti Sriramulu Nellore(DISTRICT COLLECTOR NELLORE_IDA)","PRABHAKAR REDDY VEMIREDDY","NELLORE(SC)","04-May-2026","INDUPURU ACHYUTHA SANKAR REDDY","Payment Success","1347077"
"7353","Punjab","Street lights","WS/MP18155/2025-2026/260966","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","05-May-2026","MAHAVIRINDUSTRIESDHURI","Payment Success","233080"
"7354","Punjab","Street lights","WS/MP18155/2025-2026/260965","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","05-May-2026","MAHAVIRINDUSTRIESDHURI","Payment Success","233080"
"7355","Telangana","Providing drains and gutters for public drainage","WS/MP18188/2025-2026/222563","VIKARABAD(DISTRICT COLLECTOR VIKARABAD_2)","KONDA VISHWESHWAR REDDY","CHELVELLA","04-May-2026","Gangasaram Srinivas Reddy","Payment Success","396007"
"7356","Telangana","Providing drains and gutters for public drainage","WS/MP18188/2025-2026/222562","VIKARABAD(DISTRICT COLLECTOR VIKARABAD_2)","KONDA VISHWESHWAR REDDY","CHELVELLA","04-May-2026","Gangasaram Srinivas Reddy","Payment Success","398379"
"7357","Telangana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18188/2025-2026/222567","VIKARABAD(DISTRICT COLLECTOR VIKARABAD_2)","KONDA VISHWESHWAR REDDY","CHELVELLA","04-May-2026","Gangasaram Srinivas Reddy","Payment Success","499629"
"7358","Telangana","Installing tube-wells and borewells","WS/MP18188/2025-2026/203037","VIKARABAD(DISTRICT COLLECTOR VIKARABAD_2)","KONDA VISHWESHWAR REDDY","CHELVELLA","08-May-2026","Gangasaram Srinivas Reddy","Payment Success","242187"
"7359","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18131/2026-2027/200906","RATNAGIRI(District Collector Ratnagiri_IDA)","NARAYAN TATU RANE","RATNAGIRI-SINDHUDURG","13-Jul-2026","arjun pomu pawar","Payment Success","500000"
"7360","Madhya Pradesh","Construction of community centers and community halls","WS/MP654/2026-2027/231166","UMARIA(District Collector Umariya_IDA)","Smt Himadri Singh","SHAHDOL (ST)","14-May-2026","GRAM PANCHAYAT LAKHNOTI","Payment Success","500000"
"7361","Punjab","Construction of community centers and community halls","WS/MP381/2025-2026/227984","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Shri Gurjeet Singh Aujla","AMRITSAR","06-May-2026","Jaideep Singh Cement Store","Payment Success","165000"
"7362","Punjab","Construction of community centers and community halls","WS/MP381/2025-2026/227985","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Shri Gurjeet Singh Aujla","AMRITSAR","06-May-2026","Jaideep Singh Cement Store","Payment Success","40000"
"7363","Madhya Pradesh","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP650/2025-2026/216023","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Shankar Lalwani","INDORE","05-May-2026","MAA SHAKTI INTERPRAJES","Payment Success","29535"
"7364","Madhya Pradesh","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP650/2025-2026/216023","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Shankar Lalwani","INDORE","05-May-2026","MAA SHAKTI INTERPRAJES","Payment Success","18000"
"7365","Madhya Pradesh","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP650/2025-2026/216023","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Shankar Lalwani","INDORE","05-May-2026","SHANKAR LAL PUNAMCHAND","Payment Success","25000"
"7366","Madhya Pradesh","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP650/2025-2026/216023","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Shankar Lalwani","INDORE","05-May-2026","SHANKAR LAL PUNAMCHAND","Payment Success","25000"
"7367","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18215/2025-2026/247224","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","AWADHESH PRASAD","FAIZABAD","16-Jul-2026","MUINUDDIN CONTECTER","Payment Success","1028793"
"7368","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18215/2025-2026/247224","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","AWADHESH PRASAD","FAIZABAD","16-Jul-2026","MUINUDDIN CONTECTER","Payment Success","341345"
"7369","Himachal Pradesh","Construction of community centers and community halls","WS/MP18328/2025-2026/242448","MANDI(DEPUTY COMMISSIONER MANDI_IDA)","Kangana Ranaut","MANDI","13-Jul-2026","Gram Panchayat Bharnal","Payment Success","100000"
"7370","Punjab","Construction of community centers and community halls","WS/MP18311/2024-2025/141027","RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","04-May-2026","DHARAMPAL","Payment Success","125000"
"7371","Haryana","Construction of common work sheds/ common covered sitting area","WS/MP18064/2025-2026/249996","YAMUNANAGAR(Deputy Commissioner YamunaNagar_IDA)","NAVEEN JINDAL","KURUKSHETRA","13-May-2026","GAINDA SINGH DEVELOPERS","Payment Success","392083"
"7372","Madhya Pradesh","Construction of rooms and halls in school and colleges","WS/MP18099/2026-2027/277216","BHOPAL(DISTRICT COLLECTOR BHOPAL_IDA)","ALOK SHARMA","BHOPAL","08-May-2026","Bharti Samaj","Payment Success","700000"
"7373","Rajasthan","Purchase of smart boards, visual display units and projectors","WS/MP18313/2025-2026/258633","DUNGARPUR(DISTRICT COLLECTOR DUNGARPUR_IDA)","RAJ KUMAR ROAT","BANSWARA(ST)","24-Jun-2026","KING COMPUTERS AND PHOTO COPY","Payment Success","99250"
"7374","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18083/2026-2027/267000","DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA)","CAPTAIN BRIJESH CHOWTA","DAKSHINA KANNADA","11-Jun-2026","KAILAS BABU","Payment Success","498535"
"7375","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18218/2025-2026/232645","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","ATUL GARG","GHAZIABAD","22-Jun-2026","SKYTECH ENTERPRISES","Payment Success","994301"
"7376","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18218/2025-2026/233874","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","ATUL GARG","GHAZIABAD","22-Jun-2026","SKYTECH ENTERPRISES","Payment Success","997653"
"7377","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18218/2025-2026/186317","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","ATUL GARG","GHAZIABAD","02-May-2026","SKYTECH ENTERPRISES","Payment Success","2300433"
"7378","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18218/2025-2026/232647","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","ATUL GARG","GHAZIABAD","10-Jul-2026","SKYTECH ENTERPRISES","Payment Success","990047"
"7379","Rajasthan","Purchase of smart boards, visual display units and projectors","WS/MP18313/2025-2026/258634","DUNGARPUR(DISTRICT COLLECTOR DUNGARPUR_IDA)","RAJ KUMAR ROAT","BANSWARA(ST)","24-May-2026","KING COMPUTERS AND PHOTO COPY","Payment Success","90250"
"7380","Rajasthan","Purchase of smart boards, visual display units and projectors","WS/MP18313/2025-2026/258630","DUNGARPUR(DISTRICT COLLECTOR DUNGARPUR_IDA)","RAJ KUMAR ROAT","BANSWARA(ST)","24-Jun-2026","KING COMPUTERS AND PHOTO COPY","Payment Success","99250"
"7381","Rajasthan","Purchase of smart boards, visual display units and projectors","WS/MP18313/2025-2026/258631","DUNGARPUR(DISTRICT COLLECTOR DUNGARPUR_IDA)","RAJ KUMAR ROAT","BANSWARA(ST)","23-Jun-2026","KING COMPUTERS AND PHOTO COPY","Payment Success","99250"
"7382","Punjab","Construction of additional rooms and halls in the existing public and community building","WS/MP18314/2025-2026/219612","SANGRUR(DEPUTY COMMISSIONER SANGRUR_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","08-May-2026","AH BUILDER AND CONTRACTOR","Payment Success","171820"
"7383","Jammu And Kashmir","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP331/2025-2026/207245","JAMMU(DEPUTY COMMISSIONER JAMMU_IDA)","Shri Jugal Kishore Sharma","JAMMU","09-May-2026","GANESH KUMAR","Payment Success","257900"
"7384","Assam","Construction of community centers and community halls","WS/MP18029/2025-2026/248143","LAKHIMPUR(DEPUTY COMMISSIONER LAKHIMPUR_IDA)","RANJIT DUTTA","Sonitpur","12-May-2026","SUN ENTERPRISE","Payment Success","184506"
"7385","Andhra Pradesh","Construction of community centers and community halls","WS/MP18006/2025-2026/239476","CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA)","DAGGUMALLA PRASADA RAO","CHITTOOR","11-May-2026","MS NPR AND COMPANY","Payment Success","731167"
"7386","Madhya Pradesh","Development of playfields and sports grounds","WS/MP18099/2026-2027/269942","SEHORE(DISTRICT COLLECTOR SEHORE_IDA)","ALOK SHARMA","BHOPAL","29-May-2026","Kadampur","Payment Success","250000"
"7387","Madhya Pradesh","Construction of culverts and bridges","WS/MP18375/2025-2026/187758","SEHORE(DISTRICT COLLECTOR SEHORE_IDA)","SHIVRAJ SINGH CHOUHAN","VIDISHA","19-May-2026","jahangirpura","Payment Success","625000"
"7388","Assam","Development of playfields and sports grounds","WS/MP18021/2025-2026/205620","DHUBRI(DEPUTY COMMISSIONER DHUBRI_IDA)","RAKIBUL HUSSAIN","DHUBRI","22-Jun-2026","Radheshyam Singh","Payment Success","249920"
"7389","Rajasthan","Construction of water tanks","WS/MP18167/2025-2026/196277","JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA)","BRIJENDRA SINGH OLA","JHUNJHUNU","11-May-2026","RAO CONSTRUCTION CO","Payment Success","241300"
"7390","Himachal Pradesh","Development of playfields and sports grounds","WS/MP18069/2025-2026/211752","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","RAJEEV BHARDWAJ","KANGRA","06-Jul-2026","GP MARHOON","Payment Success","185028"
"7391","Jammu And Kashmir","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18070/2025-2026/243300","POONCH(Deputy Commissioner Poonch_IDA)","MIAN ALTAF AHMAD","ANANTNAG","13-Jul-2026","JAVID IQBAL","Payment Success","294000"
"7392","Tamil Nadu","Lighting of public spaces","WS/MP18176/2025-2026/260818","DINDIGUL(DISTRICT COLLECTOR DINDIGUL_IDA)","SACHITHANANTHAM R","DINDIGUL","25-May-2026","LS ENTERPRISES","Payment Success","498204"
"7393","Tripura","Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","WS/MP18197/2026-2027/262127","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","BIPLAB KUMAR DEB","TRIPURA WEST","06-Jul-2026","Sree maa Motors","Payment Success","118408"
"7394","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18167/2025-2026/262156","JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA)","BRIJENDRA SINGH OLA","JHUNJHUNU","11-May-2026","ajay","Payment Success","8500"
"7395","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18167/2025-2026/262156","JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA)","BRIJENDRA SINGH OLA","JHUNJHUNU","11-May-2026","lokendra kumar","Payment Success","8500"
"7396","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18167/2025-2026/262156","JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA)","BRIJENDRA SINGH OLA","JHUNJHUNU","11-May-2026","pawan","Payment Success","8500"
"7397","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18167/2025-2026/262156","JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA)","BRIJENDRA SINGH OLA","JHUNJHUNU","11-May-2026","sandeep kumar","Payment Success","8500"
"7398","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18167/2025-2026/262156","JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA)","BRIJENDRA SINGH OLA","JHUNJHUNU","11-May-2026","vijay singh","Payment Success","9350"
"7399","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18167/2025-2026/262156","JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA)","BRIJENDRA SINGH OLA","JHUNJHUNU","11-May-2026","santra devi","Payment Success","3420"
"7400","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18167/2025-2026/262156","JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA)","BRIJENDRA SINGH OLA","JHUNJHUNU","11-May-2026","reshma devi","Payment Success","3420"
"7401","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18167/2025-2026/262156","JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA)","BRIJENDRA SINGH OLA","JHUNJHUNU","11-May-2026","narendra kumar","Payment Success","3420"
"7402","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18167/2025-2026/262156","JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA)","BRIJENDRA SINGH OLA","JHUNJHUNU","11-May-2026","archana","Payment Success","3420"
"7403","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18167/2025-2026/262156","JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA)","BRIJENDRA SINGH OLA","JHUNJHUNU","11-May-2026","subhash","Payment Success","3135"
"7404","Rajasthan","Construction of rooms and halls in school and colleges","WS/MP386/2025-2026/247098","Didwana-Kuchaman(DISTRICT COLLECTOR Didwana Kuchaman_IDA)","Shri Hanuman Beniwal","NAGAUR","14-May-2026","Shivkripa Construction","Payment Success","450000"
"7405","Rajasthan","Construction of rooms and halls in school and colleges","WS/MP386/2025-2026/247097","Didwana-Kuchaman(DISTRICT COLLECTOR Didwana Kuchaman_IDA)","Shri Hanuman Beniwal","NAGAUR","14-May-2026","Shivkripa Construction","Payment Success","240000"
"7406","Odisha","Construction of community centers and community halls","WS/MP18148/2025-2026/170255","NABARANGPUR(DISTRICT COLLECTOR NABARANGPUR_IDA)","BALABHADRA MAJHI","NABARANGPUR(ST)","18-Jun-2026","MAA SANTOSHI TRADERS","Payment Success","149451"
"7407","Haryana","Construction of community centers and community halls","WS/MP18065/2025-2026/251516","ROHTAK(DEPUTY COMMISSIONER ROHTAK_IDA)","DEEPENDER SINGH HOODA","ROHTAK","11-May-2026","METRO ENTERPRISES","Payment Success","199656"
"7408","Haryana","Construction of community centers and community halls","WS/MP18065/2025-2026/218316","ROHTAK(DEPUTY COMMISSIONER ROHTAK_IDA)","DEEPENDER SINGH HOODA","ROHTAK","12-May-2026","THE BABA SITARAM CO OP L AND C SOCIETY","Payment Success","933487"
"7409","Punjab","Development of playfields and sports grounds","WS/MP380/2025-2026/213877","FATEHGARH SAHIB(DEPUTY COMMISSIONER FATEHGARH SAHIB_IDA)","Shri Amar Singh","FATEHGARH SAHIB(SC)","12-May-2026","SATINDERPAL SINGH","Payment Success","30376"
"7410","Punjab","Purchase of immovable sports equipment","WS/MP18154/2025-2026/250965","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","SUKHJINDER SINGH RANDHAWA","GURDASPUR","09-May-2026","Satnam Singh","Payment Success","28920"
"7411","Odisha","Construction of community centers and community halls","WS/MP18148/2025-2026/170255","NABARANGPUR(DISTRICT COLLECTOR NABARANGPUR_IDA)","BALABHADRA MAJHI","NABARANGPUR(ST)","18-Jun-2026","MS SUPRIYA CONSTRUCTION","Payment Success","127360"
"7412","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18096/2025-2026/214341","THRISSUR(DISTRICT COLLECTOR THRISSUR_IDA)","SURESH GOPI","THRISSUR","11-May-2026","Pradeep Kumar V","Payment Success","1663901"
"7413","Rajasthan","Construction of common work sheds/ common covered sitting area","WS/MP728/2025-2026/255396","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Rahul Kaswan","CHURU","08-May-2026","ARPIT CONSTRUCTION COMPANY","Payment Success","667002"
"7414","Telangana","Providing supply pipelines for drinking water","WS/MP18188/2025-2026/170980","VIKARABAD(DISTRICT COLLECTOR VIKARABAD_2)","KONDA VISHWESHWAR REDDY","CHELVELLA","24-Jun-2026","Om Sree Raghavendra Borewells","Payment Success","480643"
"7415","Telangana","Installing tube-wells and borewells","WS/MP18188/2025-2026/149968","VIKARABAD(DISTRICT COLLECTOR VIKARABAD_2)","KONDA VISHWESHWAR REDDY","CHELVELLA","27-May-2026","Om Sree Raghavendra Borewells","Payment Success","147024"
"7416","Telangana","Installing tube-wells and borewells","WS/MP18188/2025-2026/149967","VIKARABAD(DISTRICT COLLECTOR VIKARABAD_2)","KONDA VISHWESHWAR REDDY","CHELVELLA","27-May-2026","Om Sree Raghavendra Borewells","Payment Success","146150"
"7417","Telangana","Installing tube-wells and borewells","WS/MP18188/2025-2026/204119","VIKARABAD(DISTRICT COLLECTOR VIKARABAD_2)","KONDA VISHWESHWAR REDDY","CHELVELLA","07-Jul-2026","Om Sree Raghavendra Borewells","Payment Success","197355"
"7418","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP381/2025-2026/228071","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Shri Gurjeet Singh Aujla","AMRITSAR","06-Jul-2026","Shivdeep Singh","Payment Success","43950"
"7419","Uttar Pradesh","Lighting of public spaces","WS/MP817/2025-2026/229414","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Smt Anupriya Patel","MIRZAPUR","13-May-2026","Atharv Enterprises","Payment Success","8480806"
"7420","Uttar Pradesh","Lighting of public spaces","WS/MP817/2025-2026/229416","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Smt Anupriya Patel","MIRZAPUR","07-Jul-2026","Atharv Enterprises","Payment Success","8490943"
"7421","Uttar Pradesh","Lighting of public spaces","WS/MP817/2025-2026/229420","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Smt Anupriya Patel","MIRZAPUR","24-Jun-2026","Atharv Enterprises","Payment Success","6101030"
