sr_no,state,honble_members_of_parliaments,constituency,allocated_amount_rupees,allocated_amount_rupees_invalid_negative,source_dataset
234,Uttar Pradesh,Kamlesh Paswan,BANSGAON(SC),147000000.0,False,Allocated_Limit.csv
235,Himachal Pradesh,Kangana Ranaut,MANDI,147000000.0,False,Allocated_Limit.csv
236,Tamil Nadu,Kani K Navas,RAMANATHAPURAM,147000000.0,False,Allocated_Limit.csv
237,Tamil Nadu,Kanimozhi Karunanidhi,THOOTHUKKUDI,147000000.0,False,Allocated_Limit.csv
238,Uttar Pradesh,KANWAR SINGH TANWAR,AMROHA,147000000.0,False,Allocated_Limit.csv
239,Uttar Pradesh,KARAN BHUSHAN SINGH,KAISERGANJ,147000000.0,False,Allocated_Limit.csv
240,West Bengal,KARTICK CHANDRA PAUL,RAIGANJ,202677986.56,False,Allocated_Limit.csv
241,Bihar,Kaushalendra Kumar,NALANDA,147000000.0,False,Allocated_Limit.csv
242,West Bengal,Khagen Murmu,MALDAHA UTTAR,147000000.0,False,Allocated_Limit.csv
243,West Bengal,Khalilur Rahaman,JANGIPUR,147000000.0,False,Allocated_Limit.csv
244,Andhra Pradesh,Kinjarapu Ram Mohan Naidu,SRIKAKULAM,171200630.11,False,Allocated_Limit.csv
245,Arunachal Pradesh,Kiren Rijiju,ARUNACHAL WEST,147000000.0,False,Allocated_Limit.csv
246,Uttar Pradesh,Kirti Vardhan Singh,GONDA,147000000.0,False,Allocated_Limit.csv
